match_id,break_number,half,fixture,home,away,start_minute,disruption,percentile,n_candidates,has_claim,stage,cell
17,1,H1,France v Senegal,France,Senegal,26,1,52.94117647058824,17,False,Group Stage,mid
17,2,H2,France v Senegal,France,Senegal,68,0,50.0,4,False,Group Stage,true_null
18,1,H1,Iraq v Norway,Iraq,Norway,24,1,33.33333333333333,12,False,Group Stage,true_null
18,2,H2,Iraq v Norway,Iraq,Norway,69,3,83.33333333333334,12,False,Group Stage,hidden_effect
19,1,H1,Argentina v Algeria,Argentina,Algeria,25,0,33.33333333333333,6,False,Group Stage,true_null
19,2,H2,Argentina v Algeria,Argentina,Algeria,69,1,25.0,4,False,Group Stage,true_null
20,1,H1,Austria v Jordan,Austria,Jordan,23,1,85.71428571428571,7,False,Group Stage,hidden_effect
20,2,H2,Austria v Jordan,Austria,Jordan,72,0,6.666666666666667,15,True,Group Stage,perception_illusion
21,1,H1,Portugal v Congo DR,Portugal,Congo DR,24,1,41.17647058823529,17,False,Group Stage,true_null
21,2,H2,Portugal v Congo DR,Portugal,Congo DR,69,1,68.42105263157895,19,False,Group Stage,mid
22,1,H1,England v Croatia,England,Croatia,23,1,50.0,8,True,Group Stage,perception_illusion
22,2,H2,England v Croatia,England,Croatia,69,3,50.0,18,False,Group Stage,true_null
23,1,H1,Ghana v Panama,Ghana,Panama,24,0,44.44444444444444,18,False,Group Stage,true_null
23,2,H2,Ghana v Panama,Ghana,Panama,68,1,16.666666666666664,18,False,Group Stage,true_null
24,1,H1,Uzbekistan v Colombia,Uzbekistan,Colombia,23,0,5.555555555555555,18,False,Group Stage,true_null
24,2,H2,Uzbekistan v Colombia,Uzbekistan,Colombia,69,4,100.0,10,False,Group Stage,hidden_effect
25,1,H1,Mexico v South Korea,Mexico,South Korea,23,1,77.77777777777779,18,False,Group Stage,mid
25,2,H2,Mexico v South Korea,Mexico,South Korea,68,0,5.263157894736842,19,False,Group Stage,true_null
26,1,H1,Czechia v South Africa,Czechia,South Africa,23,1,82.35294117647058,17,False,Group Stage,hidden_effect
26,2,H2,Czechia v South Africa,Czechia,South Africa,69,3,100.0,15,False,Group Stage,hidden_effect
27,1,H1,Canada v Qatar,Canada,Qatar,25,2,100.0,2,False,Group Stage,hidden_effect
27,2,H2,Canada v Qatar,Canada,Qatar,68,2,66.66666666666666,6,False,Group Stage,mid
28,1,H1,Switzerland v Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,23,2,100.0,19,False,Group Stage,hidden_effect
28,2,H2,Switzerland v Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,69,1,41.66666666666667,12,True,Group Stage,perception_illusion
