match_id,n_shots,goals_pdf,goals_expected,own_goals_inferred,goals_match,xg_home_pdf,xg_home_meta,subs_on,subs_off,subs_balanced,n_physical_rows,sub_flags
25,17,1,1,0,True,0.34,1.62,10,10,True,30,South Korea SON Heungmin: no lineup match for markers [57]; South Korea LEE Jaesung: no lineup match for markers [57]; South Korea HWANG Heechan: no lineup match for markers [57]; South Korea Heung Min Son: sub implied by lineup minutes (57) but no PDF row parsed; South Korea Jae Sung Lee: sub implied by lineup minutes (57) but no PDF row parsed; South Korea Hee Chan Hwang: sub implied by lineup minutes (33) but no PDF row parsed
26,30,2,2,0,True,1.36,1.35,8,8,True,27,
27,34,5,6,1,True,3.9,3.82,10,9,False,30,"Canada Jonathan DAVID: unexplained markers [3, 2] (mins=90, starting); Canada Tani OLUWASEYI: no lineup match for markers [71]; Canada Nathan SALIBA: no lineup match for markers [55, 64]; Qatar AKRAM AFIF: no lineup match for markers [59]; Qatar HOMAM AHMED: no lineup match for markers [31]; Qatar ASSIM MADIBO: unexplained markers [51] (mins=90, starting); Qatar LUCAS MENDES: no lineup match for markers [87]; Qatar SULTAN ALBRAKE: no lineup match for markers [40]; Qatar AHMED FATHY: markers [87, 45] far from expected 49; Canada Tanitoluwa Oluwatimilehin Oluwaseyi: sub implied by lineup minutes (19) but no PDF row parsed; Canada Nathan-Dylan Saliba: sub implied by lineup minutes (34) but no PDF row parsed; Qatar Michel Lucas: sub implied by lineup minutes (3) but no PDF row parsed; Qatar Hassan Akram: sub implied by lineup minutes (59) but no PDF row parsed; Qatar Hussain Sultan: sub implied by lineup minutes (50) but no PDF row parsed"
28,18,5,5,0,True,1.85,2.45,10,9,False,31,"Switzerland Granit XHAKA: unexplained markers [7] (mins=90, starting); Bosnia and Herzegovina Kerim ALAJBEGOVIC: unexplained markers [1] (mins=90, starting); Bosnia and Herzegovina Ermin MAHMIC: markers [3, 1] far from expected 89"
29,14,2,3,1,True,1.42,1.16,10,10,True,30,"Brazil VINICIUS JUNIOR: no lineup match for markers [3, 81]; Brazil BRUNO GUIMARAES: no lineup match for markers [81]; Brazil EDERSON SILVA: no lineup match for markers [81]; Brazil GABRIEL MARTINELLI: no lineup match for markers [64]; Haiti Louicius DEEDSON: no lineup match for markers [63]; Brazil José Ederson Silva: sub implied by lineup minutes (9) but no PDF row parsed; Brazil José Vinicius: sub implied by lineup minutes (81) but no PDF row parsed; Brazil GUIMARAESBruno Bruno: sub implied by lineup minutes (81) but no PDF row parsed; Brazil MARTINELLIGabriel Gabriel: sub implied by lineup minutes (26) but no PDF row parsed; Haiti Don Deedson Deedson: sub implied by lineup minutes (27) but no PDF row parsed"
30,18,1,1,0,True,0.74,0.97,8,7,False,29,Scotland Andy ROBERTSON: no lineup match for markers [65]; Scotland John McGINN: no lineup match for markers [89]; Scotland Ben GANNON DOAK: no lineup match for markers [60]; Scotland Kenny McLEAN: no lineup match for markers [71]; Morocco Azzedine OUNAHI: no lineup match for markers [90]; Scotland Ben Gannon Gannon-Doak: sub implied by lineup minutes (30) but no PDF row parsed
31,14,1,2,1,True,1.58,1.21,10,8,False,29,"USA Chris RICHARDS: no lineup match for markers [93]; USA Weston McKENNIE: no lineup match for markers [6]; USA Alex FREEMAN: no lineup match for markers [44]; USA Folarin BALOGUN: unexplained markers [6] (mins=90, starting); USA Haji WRIGHT: markers [6] far from expected 89; USA Joe SCALLY: no lineup match for markers [80]; Australia Paul OKON ENGSTLER: no lineup match for markers [78]; Australia Jason GERIA Third: no lineup match for markers [45]; USA Giovanni Alejandro Reyna: sub implied by lineup minutes (1) but no PDF row parsed; USA Joseph Michael Scally: sub implied by lineup minutes (10) but no PDF row parsed; Australia Jason Kato Geria: sub implied by lineup minutes (44) but no PDF row parsed; Australia Paul Michael Junior Okon-Engstler: sub implied by lineup minutes (78) but no PDF row parsed"
32,39,1,1,0,True,2.13,0.4,10,8,False,30,"Türkiye Abdulkerim BARDAKCI: no lineup match for markers [86]; Türkiye Ismail YUKSEK: no lineup match for markers [60]; Türkiye Baris Alper YILMAZ: no lineup match for markers [45]; Paraguay Miguel ALMIRON: unexplained markers [48] (mins=90, starting); Paraguay Jose CANALE: markers [2] far from expected 89; Paraguay Gabriel AVALOS: markers [1] far from expected 89; Türkiye Abdülker Bardakci: sub implied by lineup minutes (86) but no PDF row parsed; Türkiye Ismailİsma Yuksek: sub implied by lineup minutes (60) but no PDF row parsed; Türkiye Barı ş Alper Yilmaz: sub implied by lineup minutes (44) but no PDF row parsed"
33,24,3,3,0,True,2.47,1.85,10,10,True,31,Côte d'Ivoire Ange Yoan BONNY: no lineup match for markers [75]; Côte d'Ivoire Ange-Yoan Laurent Bonny: sub implied by lineup minutes (75) but no PDF row parsed
34,37,0,0,0,True,2.76,1.92,9,9,True,28,Curaçao Juergen LOCADIA: no lineup match for markers [83]; Curaçao Roshon VAN EIJMA Third: no lineup match for markers [76]; Curaçao Róshón Felix Romar Jordan Van Eijma: sub implied by lineup minutes (15) but no PDF row parsed; Curaçao Jürgen Leonardo Locadia: sub implied by lineup minutes (83) but no PDF row parsed
35,26,6,6,0,True,2.25,3.45,10,9,False,30,"Sweden Gabriel GUDMUNDSSON: unexplained markers [3] (mins=90, starting); Sweden Lucas BERGVALL Third: no lineup match for markers [80, 56]; Sweden Elliot STROUD: markers [3] far from expected 89; Sweden Lucas Erik Holger Bergvall: sub implied by lineup minutes (35) but no PDF row parsed"
36,12,3,4,1,True,0.02,0.35,10,8,False,31,"Tunisia Ali ABDI: unexplained markers [1] (mins=90, starting); Tunisia Ellyes SKHIRI: unexplained markers [1] (mins=90, starting); Tunisia Rani KHEDIRA: markers [1] far from expected 89; Tunisia Mohamed Elyes Achouri: sub implied by lineup minutes (1) but no PDF row parsed"
37,30,0,0,0,True,1.48,1.45,10,10,True,30,Belgium Matias FERNANDEZ PARDO: no lineup match for markers [87]; IR Iran Mehdi TORABI: no lineup match for markers [66]; Belgium Arthur Nicolas Theate: sub implied by lineup minutes (17) but no PDF row parsed; Belgium Matias Fernandez-Pardo: sub implied by lineup minutes (3) but no PDF row parsed; IR Iran Mahdi Torabi: sub implied by lineup minutes (24) but no PDF row parsed
38,30,4,4,0,True,0.71,0.55,11,10,False,31,"New Zealand Tim PAYNE: no lineup match for markers [85]; New Zealand Callum McCOWATT: no lineup match for markers [34, 66]; New Zealand Ben OLD: no lineup match for markers [66]; Egypt OMAR MARMOUSH: no lineup match for markers [76]; Egypt HOSSAM ABDELMAGUID Third: no lineup match for markers [9, 85]; Egypt MOHAMED ABDELMONEIM: markers [9] far from expected 89; New Zealand Timothy John Payne: sub implied by lineup minutes (85) but no PDF row parsed; New Zealand Tyler Grant Bindon: sub implied by lineup minutes (5) but no PDF row parsed; New Zealand Benjamin Craig Old: sub implied by lineup minutes (24) but no PDF row parsed; New Zealand Mc: sub implied by lineup minutes (66) but no PDF row parsed; Egypt Abdelmegeed Abdelsalam Hossam Abdelmaguid: sub implied by lineup minutes (6) but no PDF row parsed; Egypt Mohamed Abdelsalam Omar: sub implied by lineup minutes (76) but no PDF row parsed"
39,25,3,4,1,True,3.2,3.28,10,10,True,30,"Spain Dani OLMO: no lineup match for markers [61]; Spain Alex BAENA: no lineup match for markers [62]; Spain Nico WILLIAMS: no lineup match for markers [62]; Saudi Arabia FERAS ALBRIKAN: no lineup match for markers [60]; Saudi Arabia MOHAMED KANNO: no lineup match for markers [60, 45]; Spain Daniel Olmo: sub implied by lineup minutes (61) but no PDF row parsed; Spain Alejandro Baena: sub implied by lineup minutes (61) but no PDF row parsed; Spain Nicholas Williams: sub implied by lineup minutes (29) but no PDF row parsed; Saudi Arabia Tariq Feras: sub implied by lineup minutes (60) but no PDF row parsed; Saudi Arabia Ibrahim Mohamed: sub implied by lineup minutes (44) but no PDF row parsed"
