team,player,minute,direction,source,match_id,total_distance_m,zone4_m,zone5_m,high_speed_runs,sprints,top_speed_kmh,phys_matched,minutes_played,break2,entry_vs_break,timing_group,is_gk
Cabo Verde,NUNO DA COSTA,58,on,pdf_marker,40,3720.1,216.3,75.3,44.0,19.0,30.4,True,32,71.0,-13.0,before_break,False
Cabo Verde,HELIO VARELA,59,on,pdf_marker,40,4053.7,256.3,141.2,50.0,21.0,32.2,True,31,71.0,-12.0,before_break,False
Cabo Verde,SEMEDOJair Yannick,80,on,lineup_derived,40,2227.6,224.0,46.8,36.0,14.0,27.4,True,10,71.0,9.0,after_break,False
France,Malo GUSTO,83,on,pdf_marker,41,1092.4,28.5,5.1,7.0,3.0,26.2,True,7,,,after_break,True
France,Marcus THURAM,89,on,lineup_derived,41,295.8,21.0,5.0,2.0,20.0,22.1,True,1,,,after_break,True
France,Desire DOUE,67,on,pdf_marker,41,,,,,,,False,23,,,after_break,False
France,Rayan CHERKI,68,on,pdf_marker,41,3304.6,223.7,70.6,58.0,18.0,30.8,True,22,,,after_break,False
France,Maghnes AKLIOUCHE,83,on,pdf_marker,41,1369.8,70.2,14.3,24.0,5.0,26.6,True,7,,,after_break,False
Iraq,REBIN SULAKA,60,on,pdf_marker,41,3415.6,164.4,54.5,29.0,13.0,30.7,True,30,,,after_break,False
Iraq,YOUSSEF AMYN,60,on,pdf_marker,41,3954.9,207.0,29.9,52.0,18.0,28.3,True,30,,,after_break,False
Iraq,ALI ALHAMADI,26,on,pdf_marker,41,8132.8,368.2,73.7,88.0,28.0,30.7,True,64,,,after_break,False
Iraq,MARKO FARJI,69,on,pdf_marker,41,,,,,,,False,21,,,after_break,False
Iraq,Hazar Anwar Aimar,68,on,lineup_derived,41,3139.1,90.8,41.0,6.0,21.0,24.6,True,22,,,after_break,True
Norway,Patrick BERG,45,on,pdf_marker,42,,,,,,,False,45,68.0,-23.0,before_break,False
Norway,Marcus HOLMGREN PEDERSEN,13,on,pdf_marker,42,10137.1,592.2,312.4,115.0,50.0,33.4,True,77,68.0,-55.0,before_break,False
Norway,Andreas SCHJELDERUP,71,on,pdf_marker,42,3509.3,240.8,126.9,42.0,16.0,29.5,True,19,68.0,3.0,at_break,False
Norway,Oscar BOBB,84,on,pdf_marker,42,1974.1,192.9,31.0,28.0,12.0,27.0,True,6,68.0,16.0,after_break,False
Senegal,Mory DIAW,63,on,pdf_marker,42,,,,,,,False,27,68.0,-5.0,before_break,False
Senegal,Pathe CISS,63,on,pdf_marker,42,3547.9,158.9,4.9,34.0,12.0,25.2,True,27,68.0,-5.0,before_break,False
Senegal,Ismail JAKOBS,54,on,pdf_marker,42,5042.1,340.1,162.2,67.0,28.0,31.6,True,36,68.0,-14.0,before_break,False
Senegal,Pape Matar SARR,72,on,pdf_marker,42,3215.3,231.8,25.9,43.0,14.0,28.2,True,18,68.0,4.0,after_break,False
Senegal,Ibrahim MBAYE,54,on,pdf_marker,42,4104.7,203.8,107.3,52.0,17.0,34.7,True,36,68.0,-14.0,before_break,False
Norway,Leo Skiri Ostigard,84,on,lineup_derived,42,1704.1,24.3,19.0,3.0,6.0,21.3,True,6,68.0,16.0,after_break,True
Argentina,Leandro PAREDES,82,on,pdf_marker,43,2049.8,173.2,49.5,35.0,9.0,29.3,True,8,69.0,13.0,after_break,False
Argentina,Julian ALVAREZ,64,on,pdf_marker,43,3636.7,352.2,133.9,46.0,28.0,33.6,True,26,69.0,-5.0,before_break,False
Argentina,Nicolas OTAMENDI,58,on,pdf_marker,43,3681.0,146.2,39.6,36.0,11.0,28.8,True,32,69.0,-11.0,before_break,False
Austria,Marko ARNAUTOVIC Third,68,on,pdf_marker,43,2733.6,123.5,4.7,36.0,9.0,25.9,True,22,69.0,-1.0,at_break,False
Austria,Carney CHUKWUEMEKA,85,on,pdf_marker,43,1481.5,134.3,47.0,25.0,9.0,30.7,True,5,69.0,16.0,after_break,False
Austria,Patrick WIMMER,79,on,pdf_marker,43,2155.7,105.1,109.8,23.0,9.0,31.5,True,11,69.0,10.0,after_break,False
