team,player,minute,direction,source,match_id
Côte d'Ivoire,Nicolas PEPE,85,on,pdf_marker,33
Côte d'Ivoire,Evann GUESSAND,75,on,pdf_marker,33
Côte d'Ivoire,Ange-Yoan Laurent Bonny,75,off,lineup_derived,33
Ecuador,Jordy ALCIVAR,45,off,pdf_marker,34
Ecuador,Pervis ESTUPINAN,70,off,pdf_marker,34
Ecuador,John YEBOAH,89,off,pdf_marker,34
Ecuador,Alan FRANCO,83,off,pdf_marker,34
Ecuador,Kevin RODRIGUEZ,45,on,pdf_marker,34
Ecuador,Jordy CAICEDO,89,on,pdf_marker,34
Ecuador,Angelo PRECIADO,83,on,pdf_marker,34
Ecuador,Nilson ANGULO,70,on,pdf_marker,34
Curaçao,Juninho BACUNA,75,off,pdf_marker,34
Curaçao,Livano COMENENCIA,84,off,pdf_marker,34
Curaçao,Tahith CHONG,76,off,pdf_marker,34
Curaçao,Deveron FONVILLE,76,off,pdf_marker,34
Curaçao,Godfried ROEMERATOE,84,on,pdf_marker,34
Curaçao,Kenji GORRE,75,on,pdf_marker,34
Curaçao,Jearl MARGARITHA,76,on,pdf_marker,34
Curaçao,Gervane KASTANEER,83,on,pdf_marker,34
Curaçao,Róshón Felix Romar Jordan Van Eijma,75,on,lineup_derived,34
Curaçao,Jürgen Leonardo Locadia,83,off,lineup_derived,34
Netherlands,Cody GAKPO,90,off,pdf_marker_late,35
Netherlands,Tijjani REIJNDERS,59,off,pdf_marker,35
Netherlands,Donyell MALEN,45,off,pdf_marker,35
Netherlands,Brian BROBBEY,72,off,pdf_marker,35
Netherlands,Frenkie DE JONG,59,off,pdf_marker,35
Netherlands,Memphis DEPAY,72,on,pdf_marker,35
Netherlands,Guus TIL,59,on,pdf_marker,35
Netherlands,Noa LANG,90,on,pdf_marker,35
Netherlands,Teun KOOPMEINERS,59,on,pdf_marker,35
Netherlands,Crysencio SUMMERVILLE,45,on,pdf_marker,35
Sweden,Benjamin NYGREN,56,off,pdf_marker,35
Sweden,Jesper KARLSTROM,56,off,pdf_marker,35
Sweden,Yasin AYARI,79,off,pdf_marker,35
Sweden,Alexander BERNHARDSSON,55,off,pdf_marker,35
Sweden,Anthony ELANGA,55,on,pdf_marker,35
Sweden,Besfort ZENELI,56,on,pdf_marker,35
Sweden,Elliot STROUD,89,on,lineup_derived,35
Sweden,Taha ALI,79,on,pdf_marker,35
Sweden,Lucas Erik Holger Bergvall,55,on,lineup_derived,35
Tunisia,Dylan BRONN,45,off,pdf_marker,36
Tunisia,Elias SAAD,45,off,pdf_marker,36
Tunisia,Sebastian TOUNEKTI,64,off,pdf_marker,36
Tunisia,Ismael GHARBI,45,on,pdf_marker,36
Tunisia,Rani KHEDIRA,89,on,lineup_derived,36
Tunisia,Firas CHAOUAT,64,on,pdf_marker,36
Tunisia,Mohamed Amine BEN HMIDA,45,on,pdf_marker,36
Japan,Ritsu DOAN,74,off,pdf_marker,36
Japan,Keito NAKAMURA,79,off,pdf_marker,36
Japan,Daichi KAMADA,73,off,pdf_marker,36
Japan,Ayase UEDA,85,off,pdf_marker,36
Japan,Takehiro TOMIYASU,79,off,pdf_marker,36
Japan,Yukinari SUGAWARA,74,on,pdf_marker,36
Japan,Keisuke GOTO,85,on,pdf_marker,36
Japan,Yuito SUZUKI,79,on,pdf_marker,36
Japan,Ayumu SEKO,79,on,pdf_marker,36
Japan,Junnosuke SUZUKI,73,on,pdf_marker,36
Tunisia,Mohamed Elyes Achouri,89,on,lineup_derived,36
Belgium,Kevin DE BRUYNE,87,off,pdf_marker,37
Belgium,Romelu LUKAKU,73,off,pdf_marker,37
Belgium,Thomas MEUNIER,58,off,pdf_marker,37
Belgium,Alexis SAELEMAEKERS,58,off,pdf_marker,37
Belgium,Nicolas RASKIN,58,off,pdf_marker,37
Belgium,Dodi LUKEBAKIO,58,on,pdf_marker,37
Belgium,Hans VANAKEN,58,on,pdf_marker,37
Belgium,Timothy CASTAGNE,58,on,pdf_marker,37
IR Iran,Saleh HARDANI,45,off,pdf_marker,37
IR Iran,Ehsan HAJISAFI,66,off,pdf_marker,37
IR Iran,Saeid EZATOLAHI,85,off,pdf_marker,37
IR Iran,Mohammad MOHEBBI,66,off,pdf_marker,37
IR Iran,Saman GHODDOS,79,off,pdf_marker,37
IR Iran,Milad MOHAMMADI,66,on,pdf_marker,37
IR Iran,Alireza JAHANBAKHSH Third,45,on,pdf_marker,37
IR Iran,Amirhossein HOSSEINZADEH,85,on,pdf_marker,37
IR Iran,Shahriyar MOGHANLOO,79,on,pdf_marker,37
Belgium,Arthur Nicolas Theate,73,on,lineup_derived,37
Belgium,Matias Fernandez-Pardo,87,on,lineup_derived,37
IR Iran,Mahdi Torabi,66,on,lineup_derived,37
New Zealand,Sarpreet SINGH,76,off,pdf_marker,38
New Zealand,Elijah JUST,85,off,pdf_marker,38
New Zealand,Liberato CACACE,76,off,pdf_marker,38
New Zealand,Francis DE VRIES,85,on,pdf_marker,38
New Zealand,Jesse RANDALL,76,on,pdf_marker,38
New Zealand,Ryan THOMAS,76,on,pdf_marker,38
Egypt,EMAM ASHOUR,85,off,pdf_marker,38
Egypt,MOHAMED SALAH,85,off,pdf_marker,38
Egypt,MOSTAFA ZICO,76,off,pdf_marker,38
Egypt,HAMDY FATHY,41,off,pdf_marker,38
Egypt,RAMY RABIA,41,on,pdf_marker,38
Egypt,MOHAMED ABDELMONEIM,89,on,lineup_derived,38
Egypt,TREZEGUET,76,on,pdf_marker,38
Egypt,HAMZA ABDELKARIM,76,on,pdf_marker,38
Egypt,ZIZO,85,on,pdf_marker,38
New Zealand,Timothy John Payne,85,off,lineup_derived,38
New Zealand,Tyler Grant Bindon,85,on,lineup_derived,38
New Zealand,Benjamin Craig Old,66,on,lineup_derived,38
New Zealand,Mc,66,off,lineup_derived,38
Egypt,Abdelmegeed Abdelsalam Hossam Abdelmaguid,84,on,lineup_derived,38
Egypt,Mohamed Abdelsalam Omar,76,off,lineup_derived,38
Spain,Lamine YAMAL,45,off,pdf_marker,39
Spain,PEDRI,70,off,pdf_marker,39
Spain,Mikel OYARZABAL,45,off,pdf_marker,39
Spain,Mikel MERINO,61,on,pdf_marker,39
Spain,Ferran TORRES,45,on,pdf_marker,39
Spain,Fabian RUIZ,70,on,pdf_marker,39
Spain,Yeremy PINO,45,on,pdf_marker,39
Saudi Arabia,ABDULELAH ALAMRI,60,off,pdf_marker,39
Saudi Arabia,NASSER ALDAWSARI,90,off,pdf_marker_late,39
Saudi Arabia,MUSAB ALJUWAYR,45,off,pdf_marker,39
Saudi Arabia,ABDULLAH ALKHAIBARI,45,off,pdf_marker,39
Saudi Arabia,KHALID ALGHANNAM,90,on,pdf_marker,39
Saudi Arabia,ALA ALHAJJI,60,on,pdf_marker,39
Saudi Arabia,ABDULLAH ALHAMDDAN,45,on,pdf_marker,39
Saudi Arabia,MOHAMMED ABU ALSHAMAT,60,on,pdf_marker,39
Spain,Daniel Olmo,61,off,lineup_derived,39
Spain,Alejandro Baena,61,off,lineup_derived,39
Spain,Nicholas Williams,61,on,lineup_derived,39
Saudi Arabia,Tariq Feras,60,off,lineup_derived,39
Saudi Arabia,Ibrahim Mohamed,46,on,lineup_derived,39
Uruguay,Manuel UGARTE,70,off,pdf_marker,40
Uruguay,Federico VINAS,70,off,pdf_marker,40
Uruguay,Nicolas DE LA CRUZ,70,on,pdf_marker,40
Uruguay,Darwin NUNEZ,70,on,pdf_marker,40
Uruguay,Brian RODRIGUEZ,82,on,pdf_marker,40
Cabo Verde,KEVIN PINA,71,off,pdf_marker,40
Cabo Verde,JAMIRO MONTEIRO,80,off,pdf_marker,40
Cabo Verde,DEROY DUARTE,45,on,pdf_marker,40
Cabo Verde,LAROS DUARTE,71,on,pdf_marker,40
Cabo Verde,NUNO DA COSTA,58,on,pdf_marker,40
Cabo Verde,HELIO VARELA,59,on,pdf_marker,40
Uruguay,Maximiliano Javier Araujo,81,off,lineup_derived,40
Cabo Verde,BENCHIMOLGilson Gilson,58,off,lineup_derived,40
Cabo Verde,RODRIGUESGarry Garry,58,off,lineup_derived,40
Cabo Verde,SEMEDOJair Yannick,80,on,lineup_derived,40
Cabo Verde,Emanuel Telmo,46,off,lineup_derived,40
France,Jules KOUNDE,83,off,pdf_marker,41
France,Ousmane DEMBELE,68,off,lineup_derived,41
France,Michael OLISE,68,off,pdf_marker,41
France,Bradley BARCOLA,83,off,pdf_marker,41
France,Malo GUSTO,83,on,pdf_marker,41
France,Marcus THURAM,89,on,lineup_derived,41
France,Desire DOUE,67,on,pdf_marker,41
France,Rayan CHERKI,68,on,pdf_marker,41
France,Maghnes AKLIOUCHE,83,on,pdf_marker,41
Iraq,ZAID TAHSEEN,60,off,pdf_marker,41
Iraq,IBRAHIM BAYESH,69,off,pdf_marker,41
Iraq,AMIR ALAMMARI,68,off,pdf_marker,41
Iraq,AYMEN HUSSEIN,26,off,pdf_marker,41
Iraq,ZAID ISMAEL,60,off,pdf_marker,41
Iraq,REBIN SULAKA,60,on,pdf_marker,41
Iraq,YOUSSEF AMYN,60,on,pdf_marker,41
Iraq,ALI ALHAMADI,26,on,pdf_marker,41
Iraq,MARKO FARJI,69,on,pdf_marker,41
Iraq,Hazar Anwar Aimar,68,on,lineup_derived,41
Norway,Alexander SORLOTH,84,off,pdf_marker,42
Norway,Fredrik AURSNES,45,off,pdf_marker,42
Norway,Antonio NUSA,71,off,pdf_marker,42
Norway,Julian RYERSON,13,off,pdf_marker,42
Norway,Patrick BERG,45,on,pdf_marker,42
Norway,Marcus HOLMGREN PEDERSEN,13,on,pdf_marker,42
Norway,Andreas SCHJELDERUP,71,on,pdf_marker,42
Norway,Oscar BOBB,84,on,pdf_marker,42
Senegal,Edouard MENDY,63,off,pdf_marker,42
Senegal,Kalidou KOULIBALY,72,off,pdf_marker,42
Senegal,Lamine CAMARA,63,off,pdf_marker,42
Senegal,El Hadji Malick DIOUF,54,off,pdf_marker,42
Senegal,Pape GUEYE,54,off,pdf_marker,42
Senegal,Mory DIAW,63,on,pdf_marker,42
Senegal,Pathe CISS,63,on,pdf_marker,42
Senegal,Ismail JAKOBS,54,on,pdf_marker,42
Senegal,Pape Matar SARR,72,on,pdf_marker,42
Senegal,Ibrahim MBAYE,54,on,pdf_marker,42
Norway,Leo Skiri Ostigard,84,on,lineup_derived,42
Norway,Torbjørn Lysaker Heggem,84,off,lineup_derived,42
Argentina,Rodrigo DE PAUL,82,off,pdf_marker,43
Argentina,Cristian ROMERO,58,off,pdf_marker,43
Argentina,Thiago ALMADA,64,off,pdf_marker,43
Argentina,Lautaro MARTINEZ,65,off,pdf_marker,43
Argentina,Facundo MEDINA,82,off,pdf_marker,43
Argentina,Leandro PAREDES,82,on,pdf_marker,43
Argentina,Julian ALVAREZ,64,on,pdf_marker,43
Argentina,Nicolas OTAMENDI,58,on,pdf_marker,43
Austria,Stefan POSCH,68,off,pdf_marker,43
Austria,David ALABA,68,off,pdf_marker,43
Austria,Michael GREGORITSCH,85,off,pdf_marker,43
Austria,Romano SCHMID,79,off,pdf_marker,43
Austria,Paul WANNER,68,off,pdf_marker,43
Austria,Marko ARNAUTOVIC Third,68,on,pdf_marker,43
Austria,Carney CHUKWUEMEKA,85,on,pdf_marker,43
Austria,Patrick WIMMER,79,on,pdf_marker,43
Austria,Alexander PRASS,68,on,pdf_marker,43
Austria,Marco FRIEDL,68,on,pdf_marker,43
Argentina,Nicolás Alejandro Tagliafico,82,on,lineup_derived,43
Argentina,Nicolas Ivan Gonzalez,64,on,lineup_derived,43
Jordan,MOUSA ALTAMARI,85,off,pdf_marker,44
Jordan,MAHMOUD ALMARDI,77,off,pdf_marker,44
Jordan,MOHANNAD ABUTAHA,85,off,pdf_marker,44
Jordan,ABDALLAH ALFAKHORI,76,on,lineup_derived,44
Jordan,ALI AZAIZEH,85,on,pdf_marker,44
Algeria,Ramiz ZERROUKI,45,off,lineup_derived,44
